id,name,category,price,average_rating,rating_number
p32,"Street Guardian SGGCX2PRO+ Dash Camera with GPS, CPL & 32GB MicroSD Card",Cell Phones & Accessories,,4.0,104
p33,"SOONORY 2-Pack Sport Bands Compatible with Fitbit Charge 4 Bands, Large Small Man Woman Silicone Breathable Strap Replacement Wristbands with Air Holes for Fit Charge 4 / Charge 3 Smart Watch",Sports & Outdoors,,4.7,24
p34,"May Chen Compatible with MacBook Pro 16 inch Case 2020 2019 Release A2141 with Touch Bar&Touch ID, Plastic Hard Shell Case with Keyboard Cover + Screen Protector, Abstract Leaves",Cell Phones & Accessories,26.99,4.5,649
p35,"MXditect EB166 Headphones with Mic Stereo Earphones for iOS Android Windows System, Black",All Electronics,,3.3,69
p36,Die-cut Vinyl decal sticker Snow White Holding an apple Compatible with Macbook Laptop Car window,Computers,,4.5,11
p37,Simplistex (TM) - Adjustable Folding Laptop Computer Stand - USB Fan Cooled - Silver - 2 Year Warranty,Office Products,,5.0,4
p38,"Wenlaty Case Compatible with iPad 9th /8th /7th Generation Case(2021/2020/2019), Full Body Protective with Pencil Holder, Designed for iPad 10.2 Inch, Auto Sleep/Wake Cover, Sky Blue",Cell Phones & Accessories,19.99,4.7,1915
p39,Brand New,Computers,,4.1,8
p40,Android 10.0 Car Stereo Radio Player GPS Navigation 9 Inch Touch Screen Head Unit WiFi Bluetooth Backup Camera DVR OBD2 TPMS for BMW E90 E91 E92 E93 325 (M400 4+64G),GPS & Navigation,,4.2,3
p41,"Ares Vision Universal mounting CCTV Security Camera Wall Junction Box Bracket with Hidden Compartment (1 Pack, Wall Dome)",Camera & Photo,13.99,3.9,96
p42,"HOSONGIN 1/4 Inch Female to 3.5mm TRS Male Adapter, Quarter 1/4"" Inch 6.35mm Jack Female to 3.5mm 1/8"" Inch TRS Plug Male Stereo Audio Adapter Gold Plated Pure Copper, Blue, 1 Pack",All Electronics,,3.9,12
p43,Centon Electronics Flash Memory Card (S1-SDHU1-32G),Computers,8.99,4.8,4
p44,"Galaxy Tab A 10.1 Case 2019 - Techcircle Slim PU Leather Multiple Angle Stand Case with Card Slots Shockproof Cover for Samsung Galaxy Tab A 10.1 Inch Tablet SM-T510/T515 2019 Release, Purple Owl",Computers,17.99,4.0,17
p45,"C2G 27385 Network Installation Tool Kit, TAA Compliant",All Electronics,,3.7,4
p46,Hosa Cable SKT450 Speakon to Banana Plug Speaker Cable - 50 Foot,Musical Instruments,,5.0,1
p47,"PNY 1TB PRO Elite Class 10 U3 V30 microSDXC Flash Memory Card - 100MB/s, Class 10, U3, V30, A2, 4K UHD, Full HD, UHS-I, micro SD",Computers,109.99,4.7,3380
p48,"LENTION USB C Docking Station, 10 Gbps USB C&USB A Ports, 4K 60Hz HDMI, 100W PD, Ethernet, Card Reader, USB 3.0, AUX, USB C Dock for MacBook/Surface, More, Stable Driver USB C Hub(CB-D65, Space Gray)",All Electronics,89.99,4.4,16
p49,"VFENG Premium 4-in-1 3M Full Body Skin Sticker Decals, Decorative Protective Skin for Microsoft Surface Book 3 13.5 Inch 13'' 2020+ (Core i5 Version) - Gray",Computers,,2.9,2
p50,IU3D Low Noise DC 24V 0.12A 4010 Brushless Fan Cooler 40mm x 40mm x 10mm Cooling Fan. (2PCS -24V),Industrial & Scientific,,3.3,2
p51,JBL FLIP 5 - Waterproof Portable Bluetooth Speaker Made from 100% Recycled Plastic - Blue (Renewed),All Electronics,79.9,4.7,762
p52,"AvimaBasics Ear Buds, Spare Kit Earloops Buds Compatible with Plantronics WH500 CS540 W440 Savi W740 - Includes: 3 Earloop, 3 Eartips Guarantee! (1 Pack)",All Electronics,9.99,4.2,160
p53,Compatible with Ford Explorer 2006 2007 2008 2009 2010 Double DIN Stereo Harness Radio Install Dash Kit Package,Car Electronics,27.99,3.9,11
p54,"10-Pack Replacement Clamp Bluetooth Ear Hook Loop Clip Replacement - Set Of 5 Black SMALL Clamps + 5 Pack Black Large Clamps Shape Clear Hook for Samsung, Motorola, LG & Other Bluetooth Headsets",Home Audio & Theater,3.49,3.6,798
p55,1X (No Bluetooth) Eaglewireless Replacement Touch Stylus S Pen Pencil + 5 Replacement Tips and Sim Tray Ejector Pin for Samsung Galaxy Note 20 | Galaxy Note 20 Ultra 5G-Black (Bronze),All Electronics,,3.0,4
p56,Cable Raceways - Floor Cord Protector Cable Shield Cord Cover PVC Floor Wire Protect,All Electronics,17.87,4.3,721
p57,"Dell Inspiron 17-5755 Laptop: AMD Quad-Core A8-7410U | 2TB | 12GB | 17.3"" (1600x900) | DVD-RW | Windows 8.1 Upgradable to Win 10| Backlit Keyboard - Black /Silver (Certified Refurbished)",Computers,,3.8,34
p58,Superheadz Golden Half Black Mountain 35mm Film Camera,Camera & Photo,,5.0,1
p59,"GOCOM GD900 Two Way Radio Long Range Rechargeable Walkie Talkies, Programmable Digital & Analog Radio for Adult, for Business Commercial Walkie Talkie",Car Electronics,,3.7,31
p60,"Bluetooth Earbuds Wireless Active Noise Canceling Headphones in-Ear Earphones with 4 Mics for Sports, Enhanced Deep Bass, 30Hrs Playtime, IPX8 Waterproof, Touch Control, USB-C Quick Charging Case",All Electronics,,3.2,61
p61,"MHYALUDO Silicone Print Case Cover for Apple Airpods Pro 2nd Generation 2022 & 1st Generation 2019 Charging Case, Soft Earpods Case with keychain for Women with Airpods Pro Charging Case-White Leopard",Cell Phones & Accessories,10.99,5.0,12
p62,"iCasso Compatible with MacBook Pro 13 Inch Case 2016-2020 Release A2338 M1 A2251 A2289 A2159 A1989 A1706 A1708, Hard Plastic Case, Sleeve, Screen Protector, Keyboard Cover & Dust Plug - Serenity Blue",Computers,27.99,4.4,3503
p63,UIHY USB DATA cables 10Ft/3M Fabric Braided Sync Cable Charger Cord For iphone6 iphone6plus iPhone 5/iphone5s/iphone5c,Cell Phones & Accessories,,2.8,60
p64,1.2m Brand new Replacement Cable for Sennheiser HD25 HD 25-1 HD25-1 II headphones,Home Audio & Theater,,3.5,11
p65,"Cell Phone Car Mount, Magnetic, Universal, Black",Tools & Home Improvement,,4.5,7
p66,"4K HDMI Cable 30 Foot - CAIVOV Ultra High Speed 24Gbps HDMI 2.0 Cable - 24AWG Nylon Braided HDMI Cord - 4K 60hz, HDR, 3D, 2160P, 1080P, Compatible UHD TV, Blu-ray, Xbox, PS4/3, PC, Fire TV - 30 feet",Home Audio & Theater,,4.2,5
p67,"SUPCASE UB Pro Series Case for iPad Pro 12.9 inch for 2020 Release only, Support Apple Pencil Charging with Built-in Screen Protector Full-Body Rugged Kickstand Protective Case (Black)",Cell Phones & Accessories,27.99,4.5,4050
p68,"3.5 mm Splitter, MillSO TRS 3.5mm Headphone Splitter Y Jack Audio Splitter, 3-Pole Gold Plated Male to Dual Female Compatible for Earphones, Speakers, Mobile Phones -30CM/11.8 inch",All Electronics,,4.3,41
p69,"Toshiba TY-WSB600 2.1 Channel Bluetooth Soundbar TV Speaker: Sound Bar with Wireless Subwoofer, HDMI Arc with CEC, Optical, Coaxial, Aux and USB Inputs & Remote Control",All Electronics,,4.1,282
p70,"120mm Aluminum Fan Filter Grills w/ Mounting Screws, Black (2-Pack)",Computers,,4.2,15
p71,"BENTOBEN iPad 9th Generation Case, iPad 8th Generation Case, iPad 7th Gen Case,iPad 10.2 Case,3 in 1 Heavy Duty Rugged Shockproof Kickstand Hybrid Bumper Protective Girl Women Boy Cover,Rainbow Design",Computers,,4.5,131
p72,"Bolkin Kindle Fire HDX 8.9"" Case Cover (Black)",All Electronics,,3.6,19
p73,"Bluetooth Audio Speaker Power Amplifier - Portable Dual Channel Surround Sound Stereo Receiver - for Amplified Subwoofer Speakers, DVD, MP3, iPhone, Computer, Theater Via 3.5mm RCA - Pyle PCA4BT (Renewed)",Home Audio & Theater,,5.0,1
p74,"Nurse Stickers for Water Bottles and Laptop, Nursing Stickers for Nurse Students, Nurses, and Healthcare Workers, Waterproof, Reusable, No Residue Vinyl Decal Perfect Nurse Gift (108 Designs)",Amazon Home,8.99,4.6,123
p75,13-15.6 Inch Laptop Sleeve Case Women Men Shoulder Bag Briefcase Messenger Bag Portable Handbag,AMAZON FASHION,14.88,4.6,354
p76,3pcs 4 Wire 2 Phase DC Micro Stepper Motor Step Height 10mm with Output Gear,Camera & Photo,6.99,1.0,1
p77,"Cable Clips with Strong Self-Adhesive, XIAOXI Cord Organizer Cable Management Organizing Cords Wire for Car, Home and Office - 20 Pcs (Clear)",Home Audio & Theater,,4.3,1062
p78,"2020 Newest ASUS VivoBook 15.6"" FHD Laptop Computer, AMD Ryzen 5 3500U up to 3.7GHz, Radeon RX Vega HDMI WiFi Bluetooth USB-C Windows 10 w/ CUE Accessories (12GB DDR4, 512GB SSD)",Computers,,4.5,7
p79,CoBak Case for Kindle Paperwhite - All New PU Leather Cover with Auto Sleep Wake Feature for Kindle Paperwhite Signature Edition and Kindle Paperwhite 11th Generation 2021 Released,Cell Phones & Accessories,18.95,4.8,1064
p80,"Fomito EW-78D 72mm Lens Hood for Canon EF-S 18-200mm f/3.4-5.6 is, 28-200mm f/3.4-5.6 USM, 28-200mm f/3.4-5.6 Lens(for Canon EW-78D Replacement)",Camera & Photo,,4.2,2
p81,"Acer Aspire High Performance 15.6 inch HD Laptop PC, Intel Core i5-7200U Dual-Core, 6GB RAM, 128GB SSD (boot) + 1TB HDD, Bluetooth, WIFI, Windows 10 Home",Computers,,3.8,3
p82,"Security Camera Cable 78inches, Pre-Made All-in-One BNC Extension Wire Cord for CCTV Camera",Industrial & Scientific,,3.8,20
p83,Gikfun Photoresistor GL5537 GL5528 LDR for Arduino EK1033,Industrial & Scientific,,4.7,3
p84,"Lenovo Tab 4 8 Case, ACdream Premium PU Folio Leather Tablet Case for Lenovo Tab4 8 Tablet(2017 Version), Black",Cell Phones & Accessories,,4.4,73
p85,AC to DC Charger with 6 Feet (2 Meter) Long Cord for NABi 2 II NABI2-NV7A NABI2-NVA (NABI-DC),Computers,,4.2,17
p86,"GIGABYTE AERO 16 XE5-16"" 4K/UHD+ Samsung AMOLED, Intel Core i7-12700H, NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6, 32GB DDR5 RAM, 2TB SSD,Win11 Pro Laptop (AERO 16 XE5-73US948HP)",Computers,1749.0,3.3,10
p87,GGS Swivi HD DSLR LCD Universal Foldable Viewfinder Version II with 3.0X Magnification,Camera & Photo,149.0,3.7,52
p88,Kate 10x6.5ft Dark Wood Photo Backdrop for Photographers Horizontal Wooden Texture Floor Backgrounds for Studio Photo Props,Camera & Photo,78.0,3.5,8
p89,"Plugable USB C to HDMI Adapter 4K 30Hz, Thunderbolt 3 to HDMI Adapter Compatible with MacBook Pro, Windows, Chromebooks, 2018+ iPad Pro, Dell XPS, Thunderbolt 3 Ports and More",All Electronics,21.95,4.3,142
p90,Desk Clamp Mount Suspension Arm Stand Holder for Mevo Live Event Camera by Livestream(1st Generation Only),Camera & Photo,,5.0,2
p91,Adafruit FTDI Serial TTL-232 USB Cable [ADA70],Computers,24.63,4.5,67
p92,AirClassics Flight Bag | ASA-BAG-FLT-1,Unknown,,4.0,10
p93,AUGUR Travel Laptop Backpack,Sports & Outdoors,,2.9,2
p94,8x8ft Pink Rose Flower Theme Photography Backdrops 3D Pink Floral Newborn Kids Wedding Bridal Shower Photo Background Mother's Day Anniversary Ceremony Couple Photo Props Cake Table Banner,Camera & Photo,38.9,4.5,358
p95,128MB TF Card Flash Memory Card TF Card +Adapter (1pcs),Computers,,3.4,13
p96,LaCie Rugged All-Terrain Safe 500 GB USB 2.0/FireWire 800 Portable External Hard Drive 301491,All Electronics,146.99,3.2,18
p97,"SSV Works Polaris Ranger XP9 900 2012-up and Fullsize Ranger 2015-up XP 900 Under the Seat Subwoofer Enclosure designed for 10"" Speaker",Car Electronics,,5.0,1
p98,"Monsoon G1/4"" to 1/2"" ID, 3/4"" OD Chain Gun Compression Fitting for Soft Tubing, Chrome, 4-Pack",Industrial & Scientific,25.71,5.0,1
p99,YEELE 6x4ft Galaxy Backdrop Purple Night Sky in Deep Space of Universe Photography Backdrop Sci-fi Events Space Theme Birthday Decoration Kids Adults Artistic Portrait Photoshoot Studio Props,Camera & Photo,,4.8,19
p100,Aruba Instant On AP11 2x2 WiFi Access Point | US Model | Power Source Included (R3J21A),Computers,109.99,4.4,119
p101,HEZOOMS DisplayPort to DisplayPort HDMI-Compatible Splitter Adapter MST SST Mode 8K@30Hz 4K@120Hz 1 in 2 Out Directional DP1.4 Splitter Dual Monitor for DP and HD Multi Screen simultaneous displays,All Electronics,39.99,4.0,12
p102,Plugable USB 3.0 Sharing Switch for One-Button Swapping of USB Device or Hub Between Two Computers (AB Switch),Computers,,4.2,1325
p103,"KHOMO - iPad 2 3 and 4 Generation Case - DUAL Series - Super Slim Black Cover with Rubberized back and Smart Auto Wake Sleep Feature for Apple iPad 2, 3rd and 4th.",Computers,11.95,4.5,2745
p104,"trueCABLE Cat6A Shielded Riser (CMR), 1000ft, Green, 23AWG Solid Bare Copper, 750MHz, PoE++ (4PPoE), ETL Listed, Overall Foil Shield (FTP), Bulk Ethernet Cable",Industrial & Scientific,318.99,4.8,450
p105,Sony VAD-VHA Adapter Ring for DSCV3 Digital Camera,Camera & Photo,,4.7,3
p106,"Cookk Universal Folio Case for All 6.5-7.5 inch Tablet, Cookk PU Leather Bling Glitter [Card Slots] Stand Cover for Galaxy Tab 4, Galaxy Tab 3 Lite, Nexus 7, Touch M7, Rosegold",Computers,14.99,4.4,66
p107,SAYA Plastic Hard Shell for Mac Pro 13 w/o Touch Bar Model A1706 A1708 A1989 A2159,Computers,,4.8,6
p108,"Valley Enterprises TYT FTDI USB Radio Programming Cable TH-2R, TH-UV3R, TH-7800, TH-9800",Industrial & Scientific,,4.3,12
p109,Kenuco CAT5e UTP Booted Ethernet Patch Cable | Yellow | 15ft | Pack of 5,Computers,,5.0,1
p110,"BORIYUAN iPad Mini 6 Keyboard Case 2021, 7 Colors Backlit Detachable Keyboard Slim Folio Smart Cover for iPad Mini 6th Generation 8.3 inch – Black",Computers,33.99,4.3,1417
p111,STARTO Basic Starter Kit for BBC Micro: Bit,Computers,,5.0,2
p112,Guard ID Systems ID Vault ID Vault (GID0001),All Electronics,,3.0,32
p113,"Antenna, 2.4 GHz, 3 dB, SMA Male Connector",Computers,,4.4,6
p114,TEAC SL-D88 Clock Radio and CD Player (Discontinued by Manufacturer),Home Audio & Theater,,3.0,16
p115,Cuir Ally Women's Smart Clutch with Tracking Technology,AMAZON FASHION,99.99,4.0,18
p116,"CPU Cooling Fan,CPU Cooler Heat Sink Cooling Fan for LGA2011 1366 1150 1151 1155 1156 Computer Supplies,CPU Heat Sink Fan with Strong Heat Dissipation",Industrial & Scientific,23.9,1.0,2
p117,"PHIXERO SATA to USB 3.0 Adapter for 2.5"" SSD/HDD with Protective Case, SATA to USB 5Gbps Support UASP for Samsung/Seagate/WD/SanDisk, USB to SATA Adapter Compatible with PC/Laptop/HD TV/PS5/PS4/Xbox",Industrial & Scientific,10.99,4.6,37
p118,"Bindpo Electronic Eyepiece,1.25 Inch Digital Telescope Eyepiece with USB Port, Electronic Eyepiece Camera Accessory for Astrophotography,640x480 Pixels, Compatible for PC/Laptop,",All Electronics,15.12,2.9,19
p119,rgzhihuifz 10 Pcs CR/LIR2450 Horizontal Coin Button Battery Holder Black Container Case,All Electronics,6.25,4.7,8
p120,"Cat 6 Ethernet Patch Cable Flat 25ft(2 Packs With Nails and Labels),Fast than Cat5e/Cat5,Short Network Cat6 Cable,25 ft Slim Internet Cable Computer/Gaming Ethernet Cord Snagless RJ45 Connectors White",Industrial & Scientific,,4.4,105
p121,"Kinmac 360° Protective Waterproof Laptop Case Bag Sleeve with Handle for MacBook Pro 16, and 15 inch-15.6 inch Laptop (Banana Leaf)",Computers,21.38,4.8,8699
p122,Celestron 25x100 Skymaster Giant Porro Prism Binoculars 71017 w/ Celestron Heavy Duty Alt-Azimuth,Camera & Photo,,3.0,2
p123,"ChasBete Surface 2017 New Pro and Surface Pro 4 Decal Skin Marble Grain Protective Cover Precision-Fit Art Style, Easy to Apply Compatible Surface 2017 New Pro and Surface Pro 4",Computers,,4.2,30
p124,Joymax 4MP Ultra HD Webcam with Microphone - 360-Degree Rotating Computer Camera for Work at Home Jobs - High Definition Web Cam for PC Laptop - Live Streaming Desktop Camera with Noise Cancellation,Computers,,3.7,28
p125,"DIGITTRADE LS115-15 CariBlue Designer Notebook Sleeve 15.4"" Laptop Cover Neoprene Soft Carry case up to 15.6 inch Anti Shock System",Computers,,4.5,2120
p126,Assurant 2-Year Portable Electronics Protection Plan ($450-$499.99),All Electronics,9.81,5.0,3
p127,"MonsDirect Case for Amazon Kindle Fire HD 8 & 8 Plus Tablet (Fit 2020 10th Generation) Slim Smart Auto Wake/Sleep Cover with Stand & Card Holder for All-New 2020 Fire HD 8/8 Plus, Beach",Computers,18.99,4.6,390
p128,Hermitshell Hard Travel Case for Microsoft Surface Slim Pen 1 or 2,Cell Phones & Accessories,14.99,4.7,8
p129,Amp Stand Black,All Electronics,53.63,4.7,31
p130,"NP-E3 NPE3 NiMH Battery Pack for CANON EOS-1D,EOS-1Ds,EOS-1D Mark II,EOS-1D Mark II N,EOS-1Ds Mark II",Camera & Photo,,3.8,11
p131,MMOBIEL Ear Pads Cushions Compatible with Razer Kraken V2 Gaming Headset PU Leather (Black),All Electronics,8.99,4.6,441
p132,HellGate FPV Buzzer w/ Built-in Lipo,Home Audio & Theater,,5.0,1
p133,12V 8Ah Compatible Battery for APC RBC105 UPS - 8 Pack,Industrial & Scientific,149.99,5.0,1
p134,MEAN WELL SE-1000-24 AC-DC Power Supply Single Output 24V 41.7 Amp,Industrial & Scientific,212.52,2.7,5
p135,Metra GMOS-LAN-04 GMOS-LAN Interface GM 06-08,Car Electronics,117.99,4.3,54
p136,"20 Piece (10 Pairs) Ear Hooks Silicone Tips Covers Accessories Compatible With Apple Airpods & Earpods Headphones Earphone Earbuds, One Size Fits All (White)",All Electronics,,4.2,79
p137,3 MFD 100V Mylar Non-Polarized Crossover Capacitor,Car Electronics,1.99,5.0,3
p138,Handmade Genuine real Leather Full Camera Case bag cover for FUJIFILM X-E2 X-E1 XE2 XE1 Bottom opening Black color,All Electronics,,5.0,4
p139,"Adjustable Laptop Stand for Desk, Portable Foldable Laptop Riser with Heat-Vent to Elevate Laptop, Duty Laptop Holder for MacBook Pro Air, Dell, Lenovo More 11-17.3” Laptops (Black)",All Electronics,,4.6,51
p140,"FLAGPOWER Webcam with Microphone, 1080P USB Web Cam for Desktop Laptop, Camera, 120-Degree Widescreen Streaming Web Camera for Video Calling Gaming Recording Conferencing",Computers,,4.0,44
p141,HGST Touro Desk Pro 3TB USB 3.0 External Hard Drive (HTOLDNB30001BBB),All Electronics,,3.2,15
p142,"Airpod Case Cover with Keychain, Cute Full Protect Silicone Print Skin for Women Girl with Apple Aipod 2&1 Charging Case, Sunflower",Cell Phones & Accessories,,4.6,49
p143,"Power Acoustik XPS-104 4"" Midrange 300W Speaker",Cell Phones & Accessories,17.99,4.2,94
p144,"AirPods Case, Leather Portable Protective Cover Carrying Case for AirPods Charging Case (Blue)",Home Audio & Theater,,3.5,17
p145,InWin GT1 White ATX Mid Tower Computer Chassis Case for Gaming,Computers,,4.2,32
p146,Bradley Smoker BTSSCART Stainless Steel Storage Cart,Amazon Home,,5.0,1
p147,CoolBELL 15.6 Inch Laptop Sleeve Bag With Accessories Front Pocket/Fabric Laptop Protective Case For Dell/HP/Acer/ASUS/Lenovo/Ultra-book/Macbook Pro/Macbook Air / (Dark Grey),Computers,,4.6,277
p148,Pink Lizard BGA Spreader Scraper Silver Thermal Grease Paste Compound Scraper,Home Audio & Theater,,5.0,1
p149,Lighting Charger Cable 3.3ft. Metal Braided-Sliver,Cell Phones & Accessories,,5.0,1
p150,"LOVEVOOK Laptop Backpack for Women Work Travel Backpack College Backpack Purse Business Commuter Computer Bag Teacher Doctor Nurse Bags, 15.6 Inch, Blue-black",Unknown,39.98,4.7,1375
p151,Kanguru Solutions U2-DVD DUPE-D316 Kanguru DVD Duplicator,All Electronics,,4.0,2
p152,"Aiminu USB C to Lightning Cable 6ft 2Pack, Fast iPhone Charger MFi Certified Power USB C iPhone Cable Braided Type C iPhone Charging Cord for iPhone 13 12 11 Pro Max X XS XR 8 7 6s Plus SE, iPad-Red",Cell Phones & Accessories,10.99,4.5,5763
p153,"AK Bands Compatible with Fitbit Alta HR Bands, Genuine Leather Adjustable Comfortable Wristbands for Fitbit Alta HR/Fitbit Alta",AMAZON FASHION,10.99,4.5,1379
p154,"Tiffen 77mm Photo Essentials Kit with UV Protector, 812 Color Warming, Circular Polarizing Glass Filters and 4 Pocket Pouch",Camera & Photo,89.99,4.6,576
p155,"(2 PCS) Lapogy Case Designed for 2020 MagSafe Protector-Protective Skin for Wireless Charger Pad Silicone Accessory,Black+Blue",All Electronics,,2.6,6
p156,Sony KV-27HS420 27-Inch FD Trinitron WEGA HD-Ready CRT TV,All Electronics,,4.5,7
p157,Orange Earphones Earbuds In-Ear for iPhone 5 5C 5S 6 6 Plus 6S 6S Plus Headphones Earbuds with Remote & Mic & Volume Control,All Electronics,,3.2,12
p158,Digipartspower +16V + 32V AC DC Adapter for HP Photosmart 2575 2575V 2575xi Q3020A 5550v All-in-One Printer Scanner Copier Power Supply Cord Cable Charger,All Electronics,17.85,5.0,1
p159,"Telustyle TV Antenna, Indoor Digital Amplified HDTV Antennas 50-80 Miles Range with Detachable Signal Amplifier 15404",Computers,,5.0,3
p160,Kastar NPBN1 Battery and Charger Kit for Sony NP-BN1 N Type Battery and Sony Cybershot DSC-TX5 DSC-TX7 DSC-TX9 DSC-WX30 DSC-WX50 DSC-WX70 DSC-WX9 DSC-QX10 DSC-QX100 DSC-TX10 DSC-TX20 DSC-TX30 Cameras,Camera & Photo,10.99,4.0,94
p161,"Universal Firestick Remote Cover Glow in The Dark - TV Stick 4k Remote Cover 2nd/3rd Gen, Firestick Remote Case Anti Slip Silicone Sleeve (Blue )",Cell Phones & Accessories,5.99,4.2,36
p162,"MCTOPZO Cord Management Organizer Kit, Cable Management, Cable Organizer, Wire Organizer, Cord Holder for Desk, Adhesive Cable Clips,for Office Home（94PCS）",Tools & Home Improvement,,3.7,8
p163,"GOHIGH Lens Replacement for GoPro Hero 9 Black, Protective Lens Glass Cover Action Camera Accessories Repair Part",Camera & Photo,10.92,4.1,21
p164,"iPhone 6S Case, Scottii Luxurii Clear Case (4.7-Inch Screen), [Scratch Resistant] iPhone 6 Case [Crystal Clear] (Metallic Silver)",Cell Phones & Accessories,,4.0,25
p165,"Pyle PLPW12D 12"" 3200W 4-Ohm DVC Car Subwoofer Sub 2 Pack w/ DVC 4 Ohm Impedance, Black Steel Basket, & Non Press Paper Cone and Dual Ported Enclosure",Car Electronics,166.99,3.8,57
